motif_id	cisbp_tf_id	archive_motif_id	tf_status	tf_name	source_file	alternative_count	alternatives	status
M09682_2.00	T094945_3.10	M09682_3.10	D	ZIM3	TF_Information.txt	0		OK
M09683_2.00	T094963_3.10	M09683_3.10	D	ZNF41	TF_Information.txt	0		OK
M09684_2.00	T094969_3.10	M09684_3.10	D	ZNF214	TF_Information.txt	0		OK
M09685_2.00	T094973_3.10	M09685_3.10	D	ZNF547	TF_Information.txt	0		OK
M09686_2.00	T094986_3.10	M09686_3.10	D	ZNF18	TF_Information.txt	0		OK
M09687_2.00	T094987_3.10	M09687_3.10	D	KLF10	TF_Information.txt	1	T095116_3.10	AMBIGUOUS
M09688_2.00	T095007_3.10	M09688_3.10	D	ZNF394	TF_Information.txt	0		OK
M09689_2.00	T095009_3.10	M09689_3.10	D	ZNF382	TF_Information.txt	0		OK
M09690_2.00	T095010_3.10	M09690_3.10	D	IKZF3	TF_Information.txt	2	T094785_3.10;T095237_3.10	AMBIGUOUS
M09691_2.00	T095017_3.10	M09691_3.10	D	ZNF281	TF_Information.txt	0		OK
M09692_2.00	T095020_3.10	M09692_3.10	D	ZNF513	TF_Information.txt	0		OK
M09693_2.00	T095022_3.10	M09693_3.10	D	KLF15	TF_Information.txt	0		OK
M09694_2.00	T095029_3.10	M09694_3.10	D	OSR2	TF_Information.txt	0		OK
M09695_2.00	T095032_3.10	M09695_3.10	D	ZNF22	TF_Information.txt	0		OK
M09698_2.00	T095056_3.10	M09698_3.10	D	ZNF528	TF_Information.txt	0		OK
M09705_2.00	T095086_3.10	M09705_3.10	D	ZNF778	TF_Information.txt	0		OK
M09748_2.00	T095321_3.10	M09748_3.10	D	ZFP28	TF_Information.txt	0		OK
M09749_2.00	T095337_3.10	M09749_3.10	D	ZNF257	TF_Information.txt	0		OK
M09751_2.00	T095345_3.10	M09751_3.10	D	ZNF675	TF_Information.txt	0		OK
M09755_2.00	T095369_3.10	M09755_3.10	D	ZNF273	TF_Information.txt	0		OK
M09761_2.00	T095417_3.10	M09761_3.10	D	ZBTB48	TF_Information.txt	0		OK
M09767_2.00	T095485_3.10	M09767_3.10	D	SCRT1	TF_Information.txt	1	T095442_3.10	AMBIGUOUS
M09768_2.00	T095489_3.10	M09768_3.10	D	KLF14	TF_Information.txt	1	T094908_3.10	AMBIGUOUS
M09937_2.00	T240222_3.10	M09937_3.10	I	HSF2	TF_Information_all_motifs_plus.txt	1	T240223_3.10	AMBIGUOUS
M09938_2.00	T240222_3.10	M09938_3.10	I	HSF2	TF_Information_all_motifs_plus.txt	1	T240223_3.10	AMBIGUOUS
M09947_2.00	T253657_3.10	M09947_3.10	I	SRF	TF_Information_all_motifs_plus.txt	0		OK
M09948_2.00	T253655_3.10	M09948_3.10	I	MEF2A	TF_Information_all_motifs_plus.txt	1	T253656_3.10	AMBIGUOUS
M09959_2.00	T318246_3.10	M09959_3.10	I	RFX3	TF_Information_all_motifs_plus.txt	3	T318247_3.10;T318248_3.10;T318249_3.10	AMBIGUOUS
M10064_2.00	T010821_3.10	M10064_3.10	I	TFAP2D	TF_Information_all_motifs.txt	4	T010820_3.10;T010822_3.10;T010823_3.10;T010824_3.10	AMBIGUOUS
M10065_2.00	T014544_3.10	M10065_3.10	D	ARID5B	TF_Information.txt	1	T014546_3.10	AMBIGUOUS
M10073_2.00	T034257_3.10	M10073_3.10	D	USF2	TF_Information.txt	0		OK
M10074_2.00	T034259_3.10	M10074_3.10	D	AHR	TF_Information.txt	0		OK
M10076_2.00	T034264_3.10	M10076_3.10	D	TFEB	TF_Information.txt	1	T034335_3.10	AMBIGUOUS
M10077_2.00	T034267_3.10	M10077_3.10	D	EPAS1	TF_Information.txt	1	T034254_3.10	AMBIGUOUS
M10089_2.00	T034292_3.10	M10089_3.10	D	TCF12	TF_Information.txt	2	T034250_3.10;T034340_3.10	AMBIGUOUS
M10090_2.00	T034294_3.10	M10090_3.10	D	ARNT	TF_Information.txt	1	T034316_3.10	AMBIGUOUS
M10091_2.00	T034299_3.10	M10091_3.10	D	USF1	TF_Information.txt	1	T034257_3.10	AMBIGUOUS
M10092_2.00	T034301_3.10	M10092_3.10	D	TAL1	TF_Information.txt	2	T034334_3.10;T034256_3.10	AMBIGUOUS
M10093_2.00	T034302_3.10	M10093_3.10	D	NEUROD1	TF_Information.txt	3	T034276_3.10;T034306_3.10;T034313_3.10	AMBIGUOUS
M10097_2.00	T034328_3.10	M10097_3.10	D	BHLHA15	TF_Information.txt	0		OK
M10107_2.00	T034251_3.10	M10107_3.10	I	SREBF1	TF_Information_all_motifs_plus.txt	1	T034342_3.10	AMBIGUOUS
M10117_2.00	T034334_3.10	M10117_3.10	I	TAL2	TF_Information_all_motifs.txt	2	T034256_3.10;T034301_3.10	AMBIGUOUS
M10125_2.00	T034261_3.10	M10125_3.10	I	MYF6	TF_Information_all_motifs_plus.txt	2	T034262_3.10;T034272_3.10	AMBIGUOUS
M10126_2.00	T034287_3.10	M10126_3.10	I	MYCN	TF_Information_all_motifs_plus.txt	0		OK
M10127_2.00	T034265_3.10	M10127_3.10	I	HAND1	TF_Information.txt	1	T034305_3.10	AMBIGUOUS
M10128_2.00	T034276_3.10	M10128_3.10	I	NEUROD4	TF_Information_all_motifs.txt	3	T034306_3.10;T034302_3.10;T034313_3.10	AMBIGUOUS
M10129_2.00	T034322_3.10	M10129_3.10	I	OLIG3	TF_Information_all_motifs_plus.txt	1	T034344_3.10	AMBIGUOUS
