motif_id	jaspar_name	jaspar_uniprot_id	tf_exists_in_modcredb	motif_file_exists	motif_ref_exists	db_evidence_type	db_mapping_type	matrix_status	status
MA0102.4	CEBPA		not_assessed	yes	no			usable	metadata_unavailable
MA0102.5	CEBPA		not_assessed	yes	no			usable	metadata_unavailable
MA0103.1	ZEB1		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0103.2	ZEB1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0103.3	ZEB1		not_assessed	yes	no			usable	metadata_unavailable
MA0103.4	ZEB1		not_assessed	yes	no			usable	metadata_unavailable
MA0104.1	Mycn		not_assessed	yes	yes	homologous	close_homolog	usable	metadata_unavailable
MA0104.2	Mycn		not_assessed	yes	no			usable	metadata_unavailable
MA0104.3	Mycn		not_assessed	yes	no			usable	metadata_unavailable
MA0104.4	MYCN		not_assessed	yes	yes	homologous;identical	close_homolog;direct_or_identical	usable	metadata_unavailable
MA0104.5	MYCN		not_assessed	yes	no			usable	metadata_unavailable
MA0105.1	NFKB1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0105.2	NFKB1		not_assessed	yes	no			usable	metadata_unavailable
MA0105.3	NFKB1		not_assessed	yes	no			usable	metadata_unavailable
MA0105.4	NFKB1		not_assessed	yes	no			usable	metadata_unavailable
MA0106.1	TP53		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0106.2	TP53		not_assessed	yes	no			usable	metadata_unavailable
MA0106.3	TP53	P04637	yes	yes	no			usable	missing_motif_ref_link
MA0107.1	RELA		not_assessed	yes	yes	identical;relative_homologous	direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0108.1	TBP		not_assessed	yes	no			usable	metadata_unavailable
MA0108.2	TBP		not_assessed	yes	yes	homologous;identical	close_homolog;direct_or_identical	usable	metadata_unavailable
MA0108.3	TBP		not_assessed	yes	no			usable	metadata_unavailable
MA0110.1	ATHB-5		not_assessed	yes	no			usable	metadata_unavailable
MA0110.2	ATHB-5		not_assessed	yes	no			usable	metadata_unavailable
MA0110.3	ATHB-5		not_assessed	yes	no			usable	metadata_unavailable
MA0110.4	ATHB-5		not_assessed	yes	no			usable	metadata_unavailable
MA0111.1	Spz1		not_assessed	yes	no			usable	metadata_unavailable
MA0112.1	ESR1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0112.2	ESR1		not_assessed	yes	no			usable	metadata_unavailable
MA0112.3	ESR1		not_assessed	yes	no			usable	metadata_unavailable
MA0112.4	ESR1		not_assessed	yes	no			usable	metadata_unavailable
MA0113.1	NR3C1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0113.2	NR3C1		not_assessed	yes	no			usable	metadata_unavailable
MA0113.3	NR3C1		not_assessed	yes	no			usable	metadata_unavailable
MA0113.4	NR3C1		not_assessed	yes	no			usable	metadata_unavailable
MA0114.1	HNF4A		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0114.2	HNF4A		not_assessed	yes	no			usable	metadata_unavailable
